AnimalID,Timestamp,Classification,Age,Breed,Color,Image
100,2025-11-30T05:00:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T05:10:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T05:20:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T05:30:00.000Z,1,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T05:40:00.000Z,1,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T05:50:00.000Z,1,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T06:00:00.000Z,2,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T06:10:00.000Z,1,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T06:20:00.000Z,2,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T06:30:00.000Z,2,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T06:40:00.000Z,1,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T06:50:00.000Z,2,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T07:00:00.000Z,1,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T07:10:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T07:20:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T07:30:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T07:40:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T07:50:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T08:00:00.000Z,1,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T08:10:00.000Z,2,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T08:20:00.000Z,2,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T08:30:00.000Z,1,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T08:40:00.000Z,2,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T08:50:00.000Z,2,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T09:00:00.000Z,1,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T09:10:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T09:20:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T09:30:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T09:40:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T09:50:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T10:00:00.000Z,1,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T10:10:00.000Z,1,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T10:20:00.000Z,2,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T10:30:00.000Z,2,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T10:40:00.000Z,2,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T10:50:00.000Z,1,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T11:00:00.000Z,1,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T11:10:00.000Z,2,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T11:20:00.000Z,2,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T11:30:00.000Z,2,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T11:40:00.000Z,1,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T11:50:00.000Z,1,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T12:00:00.000Z,1,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T12:10:00.000Z,2,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T12:20:00.000Z,2,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T12:30:00.000Z,1,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T12:40:00.000Z,1,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T12:50:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T13:00:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T13:10:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T13:20:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T13:30:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T13:40:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T13:50:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T14:00:00.000Z,1,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T14:10:00.000Z,1,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T14:20:00.000Z,2,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T14:30:00.000Z,2,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T14:40:00.000Z,1,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T14:50:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T15:00:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T15:10:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T15:20:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T15:30:00.000Z,1,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T15:40:00.000Z,1,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T15:50:00.000Z,1,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T16:00:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T16:10:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T16:20:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T16:30:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T16:40:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T16:50:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T17:00:00.000Z,1,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T17:10:00.000Z,1,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T17:20:00.000Z,1,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T17:30:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T17:40:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T17:50:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T18:00:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T18:10:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
100,2025-11-30T18:20:00.000Z,0,3,Holstein,Black/White,https://api.dicebear.com/7.x/avataaars/svg?seed=100
